feature,n_features,roc_auc_4class_micro,roc_auc_binary_detected,roc_auc_4class_Down,roc_auc_4class_Not Recovered,roc_auc_4class_Not Sig,roc_auc_4class_Up
boltz_rosetta_A_BC_dSASA_int,1,0.8302309934385755,0.5979700050200802,0.49663192679206913,0.6150695122372299,0.6042018806181381,0.5165864098448368
boltz_rosetta_dSASA_int,1,0.8302309934385755,0.5979700050200802,0.49663192679206913,0.6150695122372299,0.6042018806181381,0.5165864098448368
msa_depth,1,0.8301761945801015,0.610922285098832,0.4955970790378007,0.6000047083888777,0.5927132531228095,0.5641676932650909
esmfold_start_A_B_ipSAE,1,0.8299815665996362,0.59907480158555,0.6095360824742267,0.5943046151039231,0.5812979051033658,0.5216919188712075
chai1_A_C_pdockq_max,1,0.8290802451402853,0.586855061076632,0.5580702319587629,0.5946651011273649,0.6022167063122694,0.5570555887171541
chai1_A_C_pdockq,1,0.8290802451402853,0.586855061076632,0.5580702319587629,0.5946651011273649,0.6022167063122694,0.5570555887171541
esmfold_ptm_start_glycine_linker,1,0.8285925979124773,0.6049308602520753,0.5310889175257731,0.5961173448218022,0.5954396065317568,0.5166943954076124
boltz_A_C_pdockq2,1,0.8281671933352486,0.6034006338668526,0.6449473797250859,0.6072688696041127,0.5838231576286184,0.5530232794422079
boltz_A_C_pdockq2_max,1,0.8274604998563633,0.6029062530347038,0.6458333333333334,0.6069172118098164,0.582936877305478,0.5140400563888289
esmfold_middle_B_A_pdockq2_max,1,0.8272570142679307,0.5997589893443275,0.5407001718213058,0.6124672251992973,0.6056497856839154,0.5087059779778763
esmfold_middle_B_A_pdockq2,1,0.8270458680455808,0.6049617590540846,0.5538015463917526,0.615535034827364,0.608304317348686,0.5071121045479369
esmfold_middle_B_A_pdockq_max,1,0.8269651919946375,0.5767688092778803,0.5272229381443299,0.5883602741459425,0.5809545971662012,0.5170246002616239
esmfold_middle_B_A_pdockq,1,0.8269651919946375,0.5767688092778803,0.5272229381443299,0.5883602741459425,0.5809545971662012,0.5170246002616239
boltz_rosetta_dG_separated,1,0.826495727815683,0.5890766189759036,0.5212887646161668,0.6040125307225568,0.5919775537131857,0.5036985018726592
boltz_rosetta_A_BC_dG_separated,1,0.826495727815683,0.5890766189759036,0.5212887646161668,0.6040125307225568,0.5919775537131857,0.5036985018726592
chai1_iptm_B,1,0.8260698554055348,0.6080295686821514,0.6351481958762887,0.6249326847527654,0.6148056216315602,0.5075502609888365
boltz_rosetta_A_BC_dSASA_polar,1,0.8258692368753493,0.5932683860441768,0.4496695475343162,0.6039607379063775,0.5899597363550123,0.5378945960406635
boltz_rosetta_dSASA_polar,1,0.8258689794838373,0.5932683860441768,0.4496695475343162,0.6039607379063775,0.5899597363550123,0.5378945960406635
chai1_iptm_C,1,0.8255407928756104,0.6160985701211528,0.6350408075601375,0.6243353079139189,0.6105652658553682,0.49159882650274955
boltz_A_C_pdockq_max,1,0.8249157330269079,0.575416618847092,0.6181539948453608,0.5879703606920155,0.567877293986509,0.4803083605328998
boltz_A_C_pdockq,1,0.8249157330269079,0.575416618847092,0.6181539948453608,0.5879703606920155,0.567877293986509,0.4803083605328998
boltz_singleaascorewithseq_solublempnn,1,0.8246408818335307,0.5904497109316387,0.7210398878552312,0.581507855912907,0.5917532947675177,0.5960026827632461
esmfold_middle_B_C_pdockq,1,0.8246033227999617,0.5351466515998222,0.5748228092783505,0.5507358328992787,0.5513525470863355,0.4795971500781062
esmfold_middle_B_C_pdockq_max,1,0.8246033227999617,0.5351466515998222,0.5748228092783505,0.5507358328992787,0.5513525470863355,0.4795971500781062
esmfold_start_A_B_ipSAE_d0chn_max,1,0.8243612946471321,0.5807032567337318,0.622852233676976,0.5777943552302844,0.5626860183174176,0.529566034620709
longest_dup_occurrences,1,0.8237975198697692,0.5409335558047079,0.5102555841924399,0.551319967394407,0.5480113995472357,0.5068136501606574
boltz_rosetta_A_C_packstat,1,0.823790800415533,0.5894515562248996,0.5490277071682765,0.5935158533101887,0.5902424779909584,0.47328116639914386
boltz_rosetta_A_B_nres_int,1,0.8237696943115447,0.5848879894578314,0.553476105744789,0.5948091042353968,0.5831600317659454,0.5062399678972712
boltz_rosetta_A_B_dSASA_hphobic,1,0.8236862994616398,0.5853178338353413,0.5539527198779868,0.591844357878943,0.588046981462655,0.5069689673622259
boltz_autoregwithoutseq_proteinmpnn,1,0.8232769896563101,0.601476549841438,0.5380400152924685,0.5941179995332496,0.5723248848928463,0.5843863179074447
chai1_A_B_pdockq_max,1,0.8229665804845351,0.6042275446634826,0.5726750429553265,0.5831545616931366,0.578884694499029,0.5070422535211268
chai1_A_B_pdockq,1,0.8229665804845351,0.6042275446634826,0.5726750429553265,0.5831545616931366,0.578884694499029,0.5070422535211268
num_pipi_within_chain,1,0.8229325864215264,0.6003593089262225,0.5714400773195876,0.5936969386644065,0.5618859240872892,0.613679371086755
esmfold_end_glycine_linker_C_B_pdockq_max,1,0.822497366657091,0.6052163063277803,0.5913606099656358,0.6169298950323554,0.5971647648268809,0.5534931863498394
esmfold_end_glycine_linker_C_B_pdockq,1,0.822497366657091,0.6052163063277803,0.5913606099656358,0.6169298950323554,0.5971647648268809,0.5534931863498394
esmfold_end_glycine_linker_C_B_lis_score,1,0.8224147754476683,0.5625068050932998,0.5354918384879724,0.5668164522878355,0.5595689546201491,0.5166308944741487
boltz_rosetta_A_B_dG_separated,1,0.8222572617867295,0.5941672941767069,0.5451512455516014,0.5902701701629433,0.5847807748047846,0.508574103798823
boltz_rosetta_A_B_dSASA_int,1,0.8221012825304262,0.586398719879518,0.5317107269954245,0.590037887229775,0.5841998411702722,0.4911918138041733
esmfold_ipae_end,1,0.8220990136933831,0.6147537365479858,0.6989905498281788,0.648298064557897,0.6311235219085048,0.513290745373957
boltz_C_hs_engaged,1,0.8220196894211059,0.5876694277108434,0.5402262328418912,0.6036986348669238,0.5876004659829366,0.4288389513108614
