feature_combo,n_features,n_dna_detected,n_leah_detected,n_3class,auc_dna_detected,auc_leah_detected,auc_3class_avg,auc_3class_down,auc_3class_notsig,auc_3class_up
esmfold_start_glycine_linker_A_B_ipSAE,1,12000,11796,6811,0.5321054328818675,0.6217411594642981,0.5059558591896826,0.5121470078961444,0.4844793681327903,0.5212412015401129
esmfold_start_glycine_linker_A_C_ipSAE,1,12000,11796,6811,0.5005759679253186,0.503542973657428,0.5004484895149943,0.4984085325500648,0.5013900800829649,0.5015468559119534
esmfold_start_glycine_linker_A_B_ipSAE_max,1,12000,11796,6811,0.5319601942167168,0.6350353806979594,0.511174953833154,0.5218848305184621,0.4824144066773228,0.5292256243036773
esmfold_start_glycine_linker_A_C_ipSAE_max,1,12000,11796,6811,0.4909756713807938,0.5127877834060102,0.5030132331278728,0.5018747676938,0.5029280225561038,0.5042369091337144
esmfold_start_glycine_linker_A_B_ipSAE_d0chn,1,12000,11796,6811,0.5267675483214649,0.6193463079003565,0.5116627009343734,0.512116184829612,0.5082278234386097,0.5146440945348981
esmfold_middle_B_C_ipSAE_d0chn,1,12000,11796,6811,0.47154402622357855,0.5404685352489711,0.5040457404667342,0.5103239141668253,0.4983677265303902,0.5034455807029871
esmfold_middle_B_A_ipSAE_d0chn_max,1,12000,11796,6811,0.5113016043989654,0.5033335213392343,0.4992902636827381,0.49901411515135036,0.4996482360489472,0.4992084398479167
esmfold_middle_B_C_ipSAE_d0chn_max,1,12000,11796,6811,0.4748327781434717,0.5364317000332962,0.5038281818651372,0.5206374028846764,0.48868298110640807,0.5021641616043274
esmfold_middle_B_A_lis_score,1,12000,11796,6811,0.525012217501446,0.5071321290254553,0.48866713321275007,0.4784596625780776,0.4916951106450504,0.4958466264151223
esmfold_middle_B_C_lis_score,1,12000,11796,6811,0.4952657181896156,0.5351212203634836,0.5027228760500173,0.5378511789822948,0.4892098071828135,0.48110764198494366
esmfold_middle_B_A_lis_score_max,1,12000,11796,6811,0.535837380900139,0.506272141928649,0.48734529466503984,0.4777969666476289,0.4898046325971657,0.4944342847503248
esmfold_middle_B_C_lis_score_max,1,12000,11796,6811,0.5085613933603282,0.5034180503630994,0.49999732592721274,0.5294795434559909,0.4891799067647091,0.48133252756093814
esmfold_middle_B_A_pdockq,1,12000,11796,6811,0.547169321272083,0.5786567749055418,0.49868224505549447,0.4916102332580888,0.501656772521863,0.5027797293865317
esmfold_middle_B_C_pdockq,1,12000,11796,6811,0.6075489198731374,0.547111029167373,0.5402565882059184,0.5718227311050069,0.513137857903182,0.5358091756095662
esmfold_middle_B_A_pdockq_max,1,12000,11796,6811,0.547169321272083,0.5786567749055418,0.49868224505549447,0.4916102332580888,0.501656772521863,0.5027797293865317
boltz_rosetta_A_BC_side2_normalized,1,12000,11796,6811,0.4927854407276644,0.536397770613264,0.49073168732873623,0.48671797800683547,0.4960615362178942,0.489415547761479
boltz_rosetta_A_BC_side2_score,1,12000,11796,6811,0.57461319556646,0.6336624614704487,0.554523618055882,0.5562738538805334,0.541761913966273,0.5655350863208395
boltz_rosetta_A_B_complex_normalized,1,12000,11796,6811,0.4988565831554731,0.5736951273730161,0.49865268575470617,0.5312459771365371,0.4845827657076542,0.48012931441992723
boltz_rosetta_A_B_dG_cross,1,12000,11796,6811,0.4980053058863423,0.4999412714726178,0.498596521444366,0.49759036144578317,0.4992115934916628,0.4989876093956521
boltz_rosetta_A_B_dG_cross/dSASAx100,1,12000,11796,6811,0.4980053058863423,0.4999412714726178,0.498596521444366,0.49759036144578317,0.4992115934916628,0.4989876093956521
boltz_rosetta_A_B_dG_separated,1,12000,11796,6811,0.5349649100060506,0.5944781047002408,0.5125588877266729,0.5692929732473915,0.47471292705031026,0.49367076288231704
boltz_rosetta_A_B_dG_separated/dSASAx100,1,12000,11796,6811,0.47923294868981847,0.53978149394594,0.521720778512227,0.5618492026797937,0.48893192620036674,0.5143812066565203
boltz_rosetta_A_B_dSASA_hphobic,1,12000,11796,6811,0.5280106998716746,0.5995475341013496,0.5315151993069082,0.5358327214048065,0.5211481799133235,0.5375646966025942
